Title,Work Item Type,Parent,Iteration Path,Area Path,Description
Cadastro de Clientes,Feature,,Sprint 1,GestaoPiscina,"CRUD completo, validação, busca e filtros"
CRUD de Clientes,Product Backlog Item,Cadastro de Clientes,Sprint 1,GestaoPiscina,"Criar, editar, excluir e listar clientes"
Validação de Campos de Cliente,Task,CRUD de Clientes,Sprint 1,GestaoPiscina,"Implementar validação obrigatória e formatos"
Busca e Filtros de Cliente,Task,CRUD de Clientes,Sprint 1,GestaoPiscina,"Implementar busca por nome, tipo e filtros"
Cadastro de Piscinas,Feature,,Sprint 1,GestaoPiscina,"CRUD completo, relacionamento com cliente"
CRUD de Piscinas,Product Backlog Item,Cadastro de Piscinas,Sprint 1,GestaoPiscina,"Criar, editar, excluir e listar piscinas"
Relacionar Piscina ao Cliente,Task,CRUD de Piscinas,Sprint 1,GestaoPiscina,"Vincular piscina ao cliente"
Cadastro de Produtos,Feature,,Sprint 1,GestaoPiscina,"CRUD completo, estoque mínimo"
CRUD de Produtos,Product Backlog Item,Cadastro de Produtos,Sprint 1,GestaoPiscina,"Criar, editar, excluir e listar produtos"
Gestão de Estoque,Feature,,Sprint 2,GestaoPiscina,"CRUD de estoque por cliente/produto, alertas"
CRUD de Estoque,Product Backlog Item,Gestão de Estoque,Sprint 2,GestaoPiscina,"Gerenciar estoque por cliente/produto"
Alertas de Estoque Baixo,Task,CRUD de Estoque,Sprint 2,GestaoPiscina,"Notificar quando estoque estiver baixo"
Cadastro de Ordens de Serviço,Feature,,Sprint 2,GestaoPiscina,"CRUD completo, relacionamento com piscina/cliente"
CRUD de OS,Product Backlog Item,Cadastro de Ordens de Serviço,Sprint 2,GestaoPiscina,"Criar, editar, excluir e listar OS"
Relacionar OS a Piscina/Cliente,Task,CRUD de OS,Sprint 2,GestaoPiscina,"Vincular OS à piscina e cliente"
Cadastro de Equipamentos,Feature,,Sprint 2,GestaoPiscina,"CRUD completo, associação com piscina"
CRUD de Equipamentos,Product Backlog Item,Cadastro de Equipamentos,Sprint 2,GestaoPiscina,"Criar, editar, excluir e listar equipamentos"
Associação Equipamento-Piscina,Task,CRUD de Equipamentos,Sprint 2,GestaoPiscina,"Vincular equipamento à piscina"
Autenticação e Perfis,Feature,,Sprint 3,GestaoPiscina,"Login, logout, controle de acesso"
Implementar Login JWT,Product Backlog Item,Autenticação e Perfis,Sprint 3,GestaoPiscina,"Login e geração de token JWT"
Controle de Perfis e Permissões,Task,Implementar Login JWT,Sprint 3,GestaoPiscina,"Permissões por tipo de usuário"
Upload de Mídia,Feature,,Sprint 3,GestaoPiscina,"Upload de fotos e vídeos em clientes, piscinas, OS"
Upload de Fotos/Vídeos,Product Backlog Item,Upload de Mídia,Sprint 3,GestaoPiscina,"Permitir upload e visualização de arquivos"
Relatórios PDF,Feature,,Sprint 4,GestaoPiscina,"Geração de relatórios PDF (clientes, OS, estoque, financeiro)"
Gerar Relatórios PDF,Product Backlog Item,Relatórios PDF,Sprint 4,GestaoPiscina,"Exportar relatórios em PDF"
Notificações,Feature,,Sprint 4,GestaoPiscina,"Push e e-mail"
Notificações Push,Product Backlog Item,Notificações,Sprint 4,GestaoPiscina,"Configurar push notifications"
Notificações por E-mail,Task,Notificações Push,Sprint 4,GestaoPiscina,"Enviar e-mails automáticos"
PWA e Offline,Feature,,Sprint 4,GestaoPiscina,"Manifest, service worker, cache"
Implementar PWA,Product Backlog Item,PWA e Offline,Sprint 4,GestaoPiscina,"Manifest, service worker, cache offline"
Integração com GPS,Feature,,Sprint 5,GestaoPiscina,"Rotas e localização"
Rotas Google Maps,Product Backlog Item,Integração com GPS,Sprint 5,GestaoPiscina,"Integração com Google Maps"
Testes Automatizados,Feature,,Sprint 5,GestaoPiscina,"Unitários e integração"
Testes Unitários Backend,Product Backlog Item,Testes Automatizados,Sprint 5,GestaoPiscina,"Cobertura de testes backend"
Testes Unitários Frontend,Product Backlog Item,Testes Automatizados,Sprint 5,GestaoPiscina,"Cobertura de testes frontend"
Deploy e Infraestrutura,Feature,,Sprint 6,GestaoPiscina,"Docker, cloud, backup"
Pipeline CI/CD,Product Backlog Item,Deploy e Infraestrutura,Sprint 6,GestaoPiscina,"Automatizar build e deploy"
Documentação e Treinamento,Feature,,Sprint 6,GestaoPiscina,"Manual do usuário, vídeos"
Documentar Endpoints,Product Backlog Item,Documentação e Treinamento,Sprint 6,GestaoPiscina,"Documentação técnica da API"
Ajustes Finais e Go Live,Feature,,Sprint 6,GestaoPiscina,"Testes finais, checklist, suporte"
Testes de Aceitação,Product Backlog Item,Ajustes Finais e Go Live,Sprint 6,GestaoPiscina,"Testes E2E e homologação"
Checklist Go Live,Task,Testes de Aceitação,Sprint 6,GestaoPiscina,"Checklist de produção"
Suporte Inicial,Task,Testes de Aceitação,Sprint 6,GestaoPiscina,"Suporte pós-implantação"
